City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Lebu,CL,-37.6167,-73.65,53.73,94,100,10.11,overcast clouds
186,Kulevcha,UA,46.0303,29.9361,56.07,82,100,7.65,overcast clouds
187,Hambantota,LK,6.1241,81.1185,82.74,83,40,18.14,scattered clouds
188,Hithadhoo,MV,-0.6,73.0833,83.59,71,9,18.34,clear sky
189,Vidim,RU,56.4088,103.1106,43.61,60,16,4.36,few clouds
190,Beloha,MG,-25.1667,45.05,62.78,85,8,5.61,clear sky
191,Esmeraldas,BR,-19.7625,-44.3139,72.64,76,100,3.71,overcast clouds
192,Coro,VE,11.4045,-69.6734,78.15,85,13,16.87,few clouds
193,Carnarvon,AU,-24.8667,113.6333,57.27,94,60,6.91,broken clouds
194,Okha,RU,53.5739,142.9478,40.46,69,43,9.31,scattered clouds
195,Hasaki,JP,35.7333,140.8333,72.28,61,0,12.12,clear sky
196,Biak,ID,-0.9131,122.8766,80.74,75,100,5.17,overcast clouds
197,Arlit,NE,18.7369,7.3853,89.67,8,100,9.48,overcast clouds
198,Bethel,US,41.3712,-73.414,49.57,91,100,1.99,light rain
199,Bhadrak,IN,21.0633,86.5054,85.6,83,19,11.1,few clouds
200,Harper,LR,4.375,-7.7169,77.31,90,99,8.77,moderate rain
201,Belluru,IN,12.9911,76.7444,72.05,82,100,6.96,overcast clouds
202,Padang,ID,-0.9492,100.3543,78.08,87,98,3.44,overcast clouds
203,Zabaykalsk,RU,49.6333,117.3167,44.51,88,100,10.78,overcast clouds
204,Tselinnoye,RU,53.0833,85.6667,58.84,61,62,3.74,broken clouds
205,Sulangan,PH,11.1373,123.7228,83.98,71,90,2.82,overcast clouds
206,Haines Junction,CA,60.7522,-137.5108,55.35,47,100,12.66,overcast clouds
207,Marinette,US,45.1,-87.6307,60.89,44,90,9.22,overcast clouds
208,Dingle,PH,10.9995,122.6711,85.46,72,46,2.89,scattered clouds
209,Yakeshi,CN,49.2833,120.7333,60.8,55,100,16.87,overcast clouds
210,Klaksvik,FO,62.2266,-6.589,50.92,93,4,19.82,clear sky
211,Terney,RU,45.0503,136.6092,44.42,90,100,2.13,overcast clouds
212,Cadiz,ES,36.5,-5.75,70.12,59,100,6.51,overcast clouds
213,Beyneu,KZ,45.3167,55.2,77.11,51,96,12.24,overcast clouds
214,Port Hardy,CA,50.6996,-127.4199,57.38,82,75,11.5,broken clouds
215,Saint-Francois,FR,46.4154,3.9054,48.67,89,0,2.3,clear sky
216,La Ronge,CA,55.1001,-105.2842,68.25,26,75,5.75,broken clouds
217,Warrnambool,AU,-38.3833,142.4833,49.8,48,98,10.83,overcast clouds
218,Sabang,ID,5.8933,95.3214,83.7,71,60,17.18,broken clouds
219,Sinnamary,GF,5.3833,-52.95,77.63,89,24,7.78,few clouds
220,Tautira,PF,-17.7333,-149.15,82.42,70,100,15.35,overcast clouds
221,Ninohe,JP,40.2724,141.3061,63.72,53,85,9.84,overcast clouds
222,Kismayo,SO,-0.3582,42.5454,78.17,79,66,15.01,broken clouds
223,San Policarpo,PH,12.1791,125.5072,83.34,75,100,2.62,overcast clouds
224,Palenque,MX,17.5167,-91.9667,82.2,65,38,4.56,scattered clouds
225,Uddiawan,PH,16.5589,121.1512,87.96,65,92,1.54,overcast clouds
226,Paamiut,GL,61.994,-49.6678,35.44,88,82,13.06,broken clouds
227,Songea,TZ,-10.6833,35.65,53.98,82,8,0.4,clear sky
228,Yar-Sale,RU,66.8333,70.8333,37.71,55,9,14.52,clear sky
229,San Rafael,AR,-34.6177,-68.3301,55.69,48,100,6.17,overcast clouds
230,Requena,ES,39.4883,-1.1004,60.58,57,100,4.03,overcast clouds
231,Puerto Ayora,EC,-0.7393,-90.3518,74.55,85,1,8.99,clear sky
232,Nasice,HR,45.4886,18.0878,49.95,86,17,6.42,few clouds
233,Flinders,AU,-34.5833,150.8552,62.06,68,0,1.01,clear sky
234,Moose Factory,CA,51.2585,-80.6094,75.2,23,1,6.91,clear sky
235,Krumbach,DE,48.2418,10.3632,45.81,89,5,5.39,clear sky
236,Muros,ES,42.7762,-9.0603,64.83,77,3,5.01,clear sky
237,Pacasmayo,PE,-7.4006,-79.5714,66.85,87,100,12.44,overcast clouds
238,Kulhudhuffushi,MV,6.6221,73.07,83.16,73,100,19.89,overcast clouds
239,Svetlogorsk,BY,52.6333,29.7333,42.76,87,87,6.73,overcast clouds
240,Namatanai,PG,-3.6667,152.4333,84.13,73,96,7.76,light rain
241,Alexandria,EG,31.2156,29.9553,79.34,53,0,3.44,clear sky
242,Yaan,NG,7.3833,8.5667,77.09,87,100,8.32,overcast clouds
243,Port Hedland,AU,-20.3167,118.5667,75.25,73,40,10.36,scattered clouds
244,Grand Gaube,MU,-20.0064,57.6608,72.37,83,19,4.0,few clouds
245,Tahe,CN,52.3333,124.7333,58.84,62,100,6.51,overcast clouds
246,Margate,GB,51.3813,1.3862,53.31,82,1,4.0,clear sky
247,Zyryanka,RU,65.75,150.85,64.08,32,14,15.95,few clouds
248,Valparaiso,CL,-33.0393,-71.6273,64.04,45,0,14.25,clear sky
249,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,1,5.93,clear sky
250,Poiana Lacului,RO,44.8167,24.7333,50.92,89,100,8.9,overcast clouds
251,Olinda,BR,-8.0089,-34.8553,73.13,88,90,5.06,overcast clouds
252,Whitehorse,CA,60.7161,-135.0538,61.02,41,75,11.01,broken clouds
253,Pisco,PE,-13.7,-76.2167,66.02,88,0,9.22,clear sky
254,Takoradi,GH,4.8845,-1.7554,78.93,87,100,7.67,light rain
255,Laguna,US,38.421,-121.4238,101.95,25,1,4.0,clear sky
256,Aden,YE,12.7794,45.0367,86.79,69,0,11.74,clear sky
257,Krasnogvardeyskiy,RU,57.3793,62.3195,46.71,93,100,10.58,overcast clouds
258,Kailua,US,21.4022,-157.7394,87.21,54,1,11.5,clear sky
259,Yibin,CN,28.7667,104.6238,74.41,75,100,1.9,overcast clouds
260,Nyrob,RU,60.733,56.7202,36.3,72,0,5.35,clear sky
261,Lazaro Cardenas,MX,17.9583,-102.2,83.66,67,74,3.83,broken clouds
262,Vilhena,BR,-12.7406,-60.1458,70.52,53,79,3.36,broken clouds
263,Aykhal,RU,66.0,111.5,60.48,35,9,6.96,clear sky
264,Faya,SA,18.3851,42.4509,68.11,19,0,5.08,clear sky
265,Hun,LY,29.1268,15.9477,75.47,34,78,5.61,broken clouds
266,Beboto,TD,8.2668,16.939,79.27,56,98,4.63,overcast clouds
267,Ahipara,NZ,-35.1667,173.1667,60.67,79,41,15.64,scattered clouds
268,Shenjiamen,CN,29.9576,122.298,70.36,69,98,8.48,overcast clouds
269,Ondjiva,AO,-17.0667,15.7333,56.07,31,100,5.84,overcast clouds
270,Srednekolymsk,RU,67.45,153.6833,65.44,26,93,11.36,overcast clouds
271,Muli,MV,2.9167,73.5667,83.77,71,12,20.74,few clouds
272,Dubreka,GN,9.7911,-13.5233,77.07,85,100,2.1,overcast clouds
