City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Faanui,PF,2021-05-26 23:55:56,-16.4833,-151.75,81.81,68,18,11.48
114,Vaini,TO,2021-05-26 23:51:29,-21.2,-175.2,78.96,73,20,8.05
115,Lagoa,PT,2021-05-26 23:55:57,39.05,-27.9833,59.05,68,43,14.94
116,Huarmey,PE,2021-05-26 23:55:57,-10.0681,-78.1522,67.19,88,19,7.07
117,Wanaka,NZ,2021-05-26 23:55:57,-44.7,169.15,46.35,64,98,6.49
118,Bethel,US,2021-05-26 23:51:48,41.3712,-73.414,76.87,69,80,16.2
119,Taywarah,AF,2021-05-26 23:55:58,33.35,64.4167,53.2,23,0,3.0
120,Shelburne,CA,2021-05-26 23:53:35,44.0787,-80.2041,68.27,67,100,14.5
121,Ormara,PK,2021-05-26 23:55:58,25.2088,64.6357,84.79,86,23,11.9
122,Mahibadhoo,MV,2021-05-26 23:55:59,3.7833,72.9667,83.68,73,100,19.28
123,Georgetown,MY,2021-05-26 23:55:59,5.4112,100.3354,78.73,94,40,1.01
124,Whitehorse,CA,2021-05-26 23:55:59,60.7161,-135.0538,45.37,76,75,4.61
125,Lebu,CL,2021-05-26 23:55:59,-37.6167,-73.65,57.54,94,99,4.83
126,Neiafu,TO,2021-05-26 23:56:00,-18.65,-173.9833,75.88,83,75,3.44
127,Pisco,PE,2021-05-26 23:56:00,-13.7,-76.2167,66.25,88,20,6.91
128,Aklavik,CA,2021-05-26 23:56:00,68.2191,-135.0107,36.32,64,75,9.22
129,Pizarro,CO,2021-05-26 23:56:01,4.9533,-77.366,77.54,87,99,2.84
130,Dhaka,BD,2021-05-26 23:53:52,23.7104,90.4074,80.58,78,75,16.15
131,Nikolskoye,RU,2021-05-26 23:51:27,59.7035,30.7861,46.4,97,80,6.6
132,Caravelas,BR,2021-05-26 23:56:01,-17.7125,-39.2481,73.38,92,31,4.7
133,Pringsewu,ID,2021-05-26 23:56:02,-5.3582,104.9744,76.64,95,92,2.15
134,Atuona,PF,2021-05-26 23:56:02,-9.8,-139.0333,79.12,76,73,12.93
135,Bloemfontein,ZA,2021-05-26 23:53:54,-29.1211,26.214,36.88,81,41,3.44
136,New Norfolk,AU,2021-05-26 23:51:14,-42.7826,147.0587,49.91,61,58,3.0
137,Bolivar,US,2021-05-26 23:56:02,37.6145,-93.4105,83.32,65,24,3.87
138,Qaanaaq,GL,2021-05-26 23:56:03,77.484,-69.3632,32.49,79,23,2.64
139,Oyotun,PE,2021-05-26 23:56:03,-6.8519,-79.3036,65.79,78,19,3.27
140,Fez,MA,2021-05-26 23:53:32,34.0372,-4.9998,71.71,64,75,2.86
141,Balkanabat,TM,2021-05-26 23:56:04,39.5108,54.3671,69.19,75,100,7.38
142,Fukue,JP,2021-05-26 23:56:04,32.6881,128.8419,64.76,94,75,8.05
143,Vestmanna,FO,2021-05-26 23:56:04,62.1564,-7.1664,38.32,81,66,10.04
144,Sinnamary,GF,2021-05-26 23:52:21,5.3833,-52.95,77.29,92,100,10.13
145,Gondanglegi,ID,2021-05-26 23:56:05,-7.7479,112.0132,77.34,80,100,2.13
146,Sinegorye,RU,2021-05-26 23:56:05,62.0788,150.477,39.36,84,100,5.97
147,Bambous Virieux,MU,2021-05-26 23:56:06,-20.3428,57.7575,71.22,100,40,4.34
148,Saskylakh,RU,2021-05-26 23:56:06,71.9167,114.0833,36.79,86,100,11.97
149,Yinchuan,CN,2021-05-26 23:56:06,38.4681,106.2731,71.35,14,0,13.49
150,Kaitangata,NZ,2021-05-26 23:56:07,-46.2817,169.8464,45.48,51,72,4.43
151,Odessa,UA,2021-05-26 23:56:07,46.4775,30.7326,55.33,100,1,0.0
152,Bonthe,SL,2021-05-26 23:56:07,7.5264,-12.505,80.44,83,53,1.92
153,Sechelt,CA,2021-05-26 23:53:40,49.4664,-123.7694,62.13,77,100,1.99
154,Fortuna,US,2021-05-26 23:54:17,40.5982,-124.1573,69.42,69,75,5.01
155,Pevek,RU,2021-05-26 23:56:08,69.7008,170.3133,32.58,86,1,2.98
156,Santa Cruz,BO,2021-05-26 23:51:14,-17.8,-63.1667,75.25,69,40,9.22
157,Bondoukou,CI,2021-05-26 23:56:08,8.0333,-2.8,73.17,94,93,4.5
158,Eyl,SO,2021-05-26 23:56:09,7.9803,49.8164,78.4,73,25,19.15
159,Jiuquan,CN,2021-05-26 23:56:09,39.7432,98.5174,69.33,12,44,2.37
160,Olafsvik,IS,2021-05-26 23:56:09,64.8945,-23.7142,46.51,84,58,9.44
161,Touros,BR,2021-05-26 23:56:10,-5.1989,-35.4608,77.9,79,20,14.76
162,Varhaug,NO,2021-05-26 23:56:10,58.6147,5.6457,54.7,81,99,1.5
163,Kieta,PG,2021-05-26 23:56:10,-6.2167,155.6333,81.68,83,86,6.06
164,Poum,NC,2021-05-26 23:56:11,-20.2333,164.0167,72.75,56,49,12.21
165,Saint-Augustin,CA,2021-05-26 23:56:11,51.226,-58.6502,43.3,97,100,6.89
166,Yellowknife,CA,2021-05-26 23:56:11,62.456,-114.3525,51.33,29,90,5.99
167,Bileca,BA,2021-05-26 23:56:12,42.8719,18.4297,64.29,83,4,3.47
168,Nanortalik,GL,2021-05-26 23:56:12,60.1432,-45.2371,37.0,91,100,4.23
169,Palana,RU,2021-05-26 23:56:12,59.1167,159.9667,39.16,67,92,8.55
170,Yar-Sale,RU,2021-05-26 23:56:12,66.8333,70.8333,32.4,62,4,9.4
171,Namibe,AO,2021-05-26 23:56:13,-15.1961,12.1522,73.62,67,0,4.52
172,Nicoya,CR,2021-05-26 23:56:13,10.1483,-85.452,80.15,85,100,5.17
173,Kodiak,US,2021-05-26 23:51:31,57.79,-152.4072,54.91,62,1,5.75
174,Floro,NO,2021-05-26 23:56:14,61.5996,5.0328,55.36,54,50,9.22
175,Waipawa,NZ,2021-05-26 23:56:14,-41.4122,175.5153,50.94,58,1,9.62
176,Constitucion,CL,2021-05-26 23:53:16,-35.3333,-72.4167,57.33,88,43,7.49
177,Salalah,OM,2021-05-26 23:56:14,17.0151,54.0924,77.95,81,12,4.29
